date_id,date_id,Grid emission factor,Hard Coal,Lignite,Natural Gas,Other,Total grid emissions
2024-07-01T00:00:00,2024-07-01T00:00:00,470.276,1098.941,10228.215,2736.543,2002.987,16066.687
2024-07-01T01:00:00,2024-07-01T01:00:00,474.489,1070.128,10189.537,2743.08,2004.45,16007.195
2024-07-01T02:00:00,2024-07-01T02:00:00,488.306,986.251,10346.213,2650.889,2006.495,15989.847
2024-07-01T03:00:00,2024-07-01T03:00:00,498.786,992.654,10660.686,2797.751,2007.663,16458.754
2024-07-01T04:00:00,2024-07-01T04:00:00,505.577,1180.044,11085.869,2844.842,2005.325,17116.08
2024-07-01T05:00:00,2024-07-01T05:00:00,502.151,1572.324,11713.694,3132.787,2029.871,18448.675
2024-07-01T06:00:00,2024-07-01T06:00:00,453.697,1846.152,11854.393,3508.66,2018.475,19227.681
2024-07-01T07:00:00,2024-07-01T07:00:00,400.371,1981.038,11807.587,3633.541,2008.86,19431.027
2024-07-01T08:00:00,2024-07-01T08:00:00,367.241,1844.231,11796.095,3680.442,2005.849,19326.618
2024-07-01T09:00:00,2024-07-01T09:00:00,330.146,1850.635,11797.217,3507.429,1996.792,19152.072
2024-07-01T10:00:00,2024-07-01T10:00:00,298.487,1645.53,11412.394,2892.312,2002.343,17952.579
2024-07-01T11:00:00,2024-07-01T11:00:00,257.776,1233.187,10308.095,2690.494,2013.74,16245.517
2024-07-01T12:00:00,2024-07-01T12:00:00,230.735,1319.625,8935.569,2756.156,2047.229,15058.579
2024-07-01T13:00:00,2024-07-01T13:00:00,201.864,964.908,7480.362,2566.656,2071.292,13083.218
2024-07-01T14:00:00,2024-07-01T14:00:00,184.701,938.017,6397.365,2488.203,2028.432,11852.016
2024-07-01T15:00:00,2024-07-01T15:00:00,201.779,997.989,7126.649,2557.37,2075.688,12757.698
2024-07-01T16:00:00,2024-07-01T16:00:00,238.04,947.193,9215.568,2621.137,2260.655,15044.553
2024-07-01T17:00:00,2024-07-01T17:00:00,276.831,1027.229,10892.197,2721.193,2274.681,16915.3
