date_id,date_id,Biomass,Grid emission factor,Hard Coal,Hydro,Lignite,Natural Gas,Other,Pumped storage generation,Solar,Conventional,Total electricity demand,Total grid emissions,Wind offshore,Wind onshore,Total Renewables,Total Conventional,Renewable share,Conventional share
2024-09-16T00:00:00,2024-09-16T00:00:00,4.297,485.234,3.5,2.745,8.09,6.76,2.413,0.273,0,21.036,43.106,16944.281,0.456,6.386,13.884,21.036,39.75945017182131,60.24054982817869
2024-09-16T01:00:00,2024-09-16T01:00:00,4.337,491.329,3.534,2.666,8.098,6.707,2.335,0.136,0,20.809,42.403,16836.352,0.479,5.975,13.457,20.810000000000002,39.27101876440891,60.72898123559109
2024-09-16T02:00:00,2024-09-16T02:00:00,4.411,494.916,3.523,2.597,8.295,6.706,2.331,0.044,0,20.898,42.859,17031.529,0.514,5.993,13.515,20.899,39.27180798512233,60.72819201487767
2024-09-16T03:00:00,2024-09-16T03:00:00,4.48,485.248,3.56,2.718,8.656,6.774,2.325,0.043,0,21.357,44.431,17467.585,0.695,6.747,14.64,21.358,40.6689260514473,59.33107394855269
2024-09-16T04:00:00,2024-09-16T04:00:00,4.541,478.415,3.764,2.744,8.745,7.111,2.314,0.034,0,21.967,44.697,17844.936,0.587,7.46,15.332,21.967999999999996,41.10455764075068,58.89544235924933
2024-09-16T05:00:00,2024-09-16T05:00:00,4.552,468.252,4.192,2.697,8.467,8.139,2.317,0.093,0,23.207,46.755,18301.999,0.551,8.079,15.879000000000001,23.208000000000002,40.624760150433644,59.375239849566356
2024-09-16T06:00:00,2024-09-16T06:00:00,4.516,444.981,5.035,2.999,8.171,9.6,2.529,1.729,0.023,27.064,52.366,19585.767,0.566,8.847,16.951,27.063999999999997,38.51187095308418,61.488129046915816
2024-09-16T07:00:00,2024-09-16T07:00:00,4.446,415.751,5.172,3.286,8.393,10.364,2.559,3.343,0.509,29.831,56.4,20278.098,1.139,9.564,18.944,29.831000000000003,38.83956945156329,61.16043054843669
2024-09-16T08:00:00,2024-09-16T08:00:00,4.359,401.846,5.117,3.079,8.704,10.506,2.505,2.679,2.624,29.511,60.574,20533.871,1.338,10.188,21.588,29.511,42.247402101802386,57.752597898197614
2024-09-16T09:00:00,2024-09-16T09:00:00,4.306,385.144,5.123,2.913,8.944,10.422,2.506,2.185,5.833,29.18,62.448,20765.542,1.931,9.753,24.736,29.18,45.87877438979153,54.12122561020848
