date_id,date_id,Biomass,Grid emission factor,Hard Coal,Hydro,Lignite,Natural Gas,Other,Pumped storage generation,Solar,Conventional,Total electricity demand,Total grid emissions,Wind offshore,Wind onshore,Total Renewables,Total Conventional,Renewable share,Conventional share
2024-07-01T00:00:00,2024-07-01T00:00:00,4.476,470.276,1.302,3.633,9.523,7.22,1.945,0.353,0,20.343,44.178,16066.687,1.338,4.374,13.820999999999998,20.343,40.45486476993326,59.545135230066734
2024-07-01T01:00:00,2024-07-01T01:00:00,4.463,474.489,1.268,3.48,9.487,7.238,1.946,0.121,0,20.06,43.789,16007.195,1.486,4.246,13.675,20.060000000000002,40.53653475618793,59.463465243812074
2024-07-01T02:00:00,2024-07-01T02:00:00,4.447,488.306,1.169,3.044,9.633,6.994,1.947,0.04,0,19.783,42.827,15989.847,1.387,4.084,12.962,19.782999999999998,39.58466941517789,60.415330584822115
2024-07-01T03:00:00,2024-07-01T03:00:00,4.389,498.786,1.176,3.104,9.926,7.382,1.948,0.043,0,20.475,43.032,16458.754,1.174,3.855,12.522,20.475,37.948904445858716,62.05109555414129
2024-07-01T04:00:00,2024-07-01T04:00:00,4.352,505.577,1.398,3.121,10.322,7.506,1.946,0.141,0.003,21.314,43.92,17116.08,1.125,3.939,12.540000000000001,21.313,37.04250731102118,62.95749268897881
2024-07-01T05:00:00,2024-07-01T05:00:00,4.327,502.151,1.863,3.298,10.907,8.266,1.962,0.173,0.382,23.17,47.051,18448.675,1.15,4.411,13.568,23.171,36.93078200277634,63.06921799722366
2024-07-01T06:00:00,2024-07-01T06:00:00,4.36,453.697,2.187,3.613,11.038,9.258,1.955,2.269,2.233,26.706,52.457,19227.681,1.2,4.268,15.674,26.706999999999994,36.98355395106298,63.01644604893701
2024-07-01T07:00:00,2024-07-01T07:00:00,4.404,400.371,2.347,3.773,10.994,9.587,1.949,3.556,6.239,28.434,63.001,19431.027,1.375,4.308,20.099,28.433,41.41391247012281,58.5860875298772
2024-07-01T08:00:00,2024-07-01T08:00:00,4.446,367.241,2.185,3.732,10.983,9.711,1.948,2.085,11.816,26.912,63.915,19326.618,1.452,4.269,25.714999999999996,26.912000000000003,48.86275105934216,51.13724894065784
2024-07-01T09:00:00,2024-07-01T09:00:00,4.471,330.146,2.193,3.817,10.984,9.254,1.942,1.621,17.516,25.994,65.622,19152.072,1.737,4.475,32.016,25.993999999999996,55.19048439924151,44.809515600758495
2024-07-01T10:00:00,2024-07-01T10:00:00,4.484,298.487,1.95,3.417,10.626,7.631,1.945,0.263,22.703,22.416,69.707,17952.579,2.206,4.918,37.728,22.415000000000003,62.73049232662156,37.269507673378456
2024-07-01T11:00:00,2024-07-01T11:00:00,4.483,257.776,1.461,3.62,9.598,7.099,1.952,0.264,26.196,20.375,72.665,16245.517,2.362,5.986,42.647,20.374,67.67109376239667,32.32890623760334
2024-07-01T12:00:00,2024-07-01T12:00:00,4.486,230.735,1.564,3.397,8.32,7.272,1.998,0.129,27.876,19.283,73.725,15058.579,2.559,7.663,45.980999999999995,19.283,70.45384898259377,29.54615101740623
2024-07-01T13:00:00,2024-07-01T13:00:00,4.472,201.864,1.143,3.301,6.965,6.772,2.032,0.085,28.441,16.997,72.03,13083.218,2.8,8.801,47.815,16.997,73.77491822502006,26.22508177497994
2024-07-01T14:00:00,2024-07-01T14:00:00,4.428,184.701,1.111,3.086,5.957,6.565,1.964,0.171,27.356,15.768,69.608,11852.016,2.886,10.645,48.40100000000001,15.767999999999999,75.42738705605511,24.57261294394489
2024-07-01T15:00:00,2024-07-01T15:00:00,4.388,201.779,1.182,3.475,6.636,6.748,1.991,0.022,24.232,16.579,68.074,12757.698,2.305,12.247,46.647,16.578999999999997,73.77819251573719,26.2218074842628
2024-07-01T16:00:00,2024-07-01T16:00:00,4.371,238.04,1.122,3.359,8.581,6.916,2.107,0.056,21.135,18.782,68.257,15044.553,2.429,13.125,44.419,18.782,70.28211578930713,29.717884210692873
2024-07-01T17:00:00,2024-07-01T17:00:00,4.365,276.831,1.217,3.327,10.142,7.18,2.116,0.099,16.736,20.754,68.019,16915.3,2.41,13.512,40.35,20.754,66.03495679497252,33.9650432050275
2024-07-01T18:00:00,2024-07-01T18:00:00,4.389,317.247,1.866,3.595,10.582,8.041,2.131,0.822,10.81,23.442,62.191,18287.275,2.911,12.496,34.201,23.442,59.332442794441654,40.66755720555835
2024-07-01T19:00:00,2024-07-01T19:00:00,4.435,362.143,2.307,3.606,10.603,9.025,2.118,1.575,5.559,25.628,58.669,19051.132,3.148,10.23,26.978,25.628,51.283123598068656,48.71687640193134
2024-07-01T20:00:00,2024-07-01T20:00:00,4.486,391.056,2.353,3.692,10.67,8.996,2.116,2.523,1.976,26.658,56.884,19165.228,3.596,8.601,22.351,26.657999999999998,45.60590911873329,54.3940908812667
2024-07-01T21:00:00,2024-07-01T21:00:00,4.528,418.701,2.318,3.684,10.714,9.136,2.113,2.569,0.176,26.851,53.47,19231.997,3.168,7.524,19.080000000000002,26.849999999999998,41.54147615937296,58.45852384062704
2024-07-01T22:00:00,2024-07-01T22:00:00,4.527,430.041,2.248,3.647,10.776,9.339,2.111,2.381,0.001,26.855,51.298,19312.429,2.405,7.474,18.054,26.855,40.20129595404039,59.7987040459596
2024-07-01T23:00:00,2024-07-01T23:00:00,4.528,441.524,2.002,3.512,10.623,8.23,2.117,0.786,0,23.757,50.087,18529.13,2.026,8.143,18.209,23.758000000000003,43.388853146519885,56.61114685348012
2024-07-02T00:00:00,2024-07-02T00:00:00,4.485,437.934,1.856,3.507,10.299,7.401,2.162,0.45,0,22.167,47.612,17767.069,1.948,8.463,18.403,22.167999999999996,45.359986197037294,54.64001380296269
2024-07-02T01:00:00,2024-07-02T01:00:00,4.435,426.759,1.602,2.96,9.348,7.127,2.146,0.049,0,20.271,47.451,16434.606,2.104,8.693,18.192,20.272000000000002,47.296173044925126,52.70382695507488
2024-07-02T02:00:00,2024-07-02T02:00:00,4.328,423.37,1.484,3.051,9.3,6.968,2.139,0.038,0,19.929,47.945,16222.336,2.385,8.624,18.387999999999998,19.929000000000002,47.989143200146145,52.010856799853855
2024-07-02T03:00:00,2024-07-02T03:00:00,4.28,424.615,1.385,3.211,9.383,6.9,2.14,0.095,0,19.905,47.588,16205.726,2.381,8.388,18.259999999999998,19.903,47.84739145245395,52.15260854754605
2024-07-02T04:00:00,2024-07-02T04:00:00,4.255,427.869,1.57,3.284,9.32,6.945,2.138,0.045,0.003,20.017,47.581,16306.648,2.456,8.096,18.094,20.018,47.47586062132662,52.52413937867338
2024-07-02T05:00:00,2024-07-02T05:00:00,4.291,434.368,1.658,3.392,9.879,7.068,2.127,0.072,0.405,20.803,48.523,17009.218,2.073,8.196,18.357,20.803999999999995,46.875718189014584,53.124281810985416
2024-07-02T06:00:00,2024-07-02T06:00:00,4.366,417.133,2.092,3.566,11.001,7.567,2.127,1.293,2.821,24.079,53.687,18770.476,2.425,7.742,20.92,24.08,46.488888888888894,53.511111111111106
2024-07-02T07:00:00,2024-07-02T07:00:00,4.438,376.565,2.239,3.438,11.067,7.557,2.132,2.117,7.324,25.112,58.503,18970.124,3.101,6.964,25.265,25.112000000000002,50.15185501320046,49.84814498679953
2024-07-02T08:00:00,2024-07-02T08:00:00,4.482,336.123,2.22,3.481,11.117,7.499,2.134,2.072,13.237,25.042,62.206,18989.627,3.616,6.638,31.454,25.042,55.67473803455112,44.32526196544888
2024-07-02T09:00:00,2024-07-02T09:00:00,4.514,299.082,1.89,3.387,10.836,7.404,2.129,1.007,18.64,23.265,64.425,18363.767,4.04,7.556,38.137,23.266000000000005,62.10934319170073,37.89065680829927
2024-07-02T10:00:00,2024-07-02T10:00:00,4.534,265.694,1.393,3.365,9.882,6.671,2.123,0.728,20.307,20.797,62.815,16638.579,4.479,9.141,41.826,20.797000000000004,66.7901569710809,33.20984302891909
2024-07-02T11:00:00,2024-07-02T11:00:00,4.558,255.952,1.336,3.361,9.461,6.501,2.082,0.885,19.84,20.265,69.369,16040.995,4.395,10.253,42.407,20.265000000000004,67.66498595864181,32.33501404135819
2024-07-02T12:00:00,2024-07-02T12:00:00,4.544,260.791,1.499,3.137,10.01,6.521,2.124,0.168,20.754,20.321,71.363,16803.88,4.599,11.08,44.114000000000004,20.322,68.46172946799925,31.53827053200074
2024-07-02T13:00:00,2024-07-02T13:00:00,4.526,248.857,1.131,3.102,9.83,6.43,2.108,0.039,20.779,19.538,73.645,16240.06,5.051,12.262,45.72,19.538,70.06037573937294,29.939624260627053
2024-07-02T14:00:00,2024-07-02T14:00:00,4.529,238.843,1.194,3.097,9.034,6.058,2.166,0.025,19.193,18.477,72.49,15355.831,5.302,13.694,45.815000000000005,18.477,71.26081005412804,28.739189945871956
2024-07-02T15:00:00,2024-07-02T15:00:00,4.523,246.099,1.436,3.126,8.739,6.043,2.172,0.027,16.268,18.417,69.702,15247.044,5.053,14.569,43.539,18.417,70.27406546581445,29.725934534185548
