keyword1,keyword2,title,category
,,On the Limitations of Carbon-Aware Temporal and Spatial Workload Shifting in the Cloud,green
energy consumption,datacenter,Green energy efficient scheduling management,green
energy consumption,datacenter,Smartly Handling Renewable Energy Instability in Supporting A Cloud Datacenter,green
energy consumption,job management,Towards Energy Budget Control in HPC,green
carbon impact,job management,Sustainability in HPC: Vision and Opportunities,green
carbon impact,load balancing,iSwitch: coordinating and optimizing renewable energy powered server clusters,green
carbon impact,load balancing,GEECO: Green Data Centers for Energy Optimization and Carbon Footprint Reduction,green
carbon impact,load balancing,The Sky is Not the Limit: Untapped Opportunities for Green Computing,green
carbon impact,datacenter,Treehouse: A Case For Carbon-Aware Datacenter Software,green
energy efficiency,job shop,Energy-Efficient Scheduling in Job Shop Manufacturing Systems: A Literature Review,green
hotcarbon,2023,The War of the Efficiencies: Understanding the Tension between Carbon and Energy Optimization,green
energy efficiency,compute cluster,"Energy efficient computing, clusters, grids and clouds: A taxonomy and survey",green
energy consumption,slurm,Automatic Energy-Efficient Job Scheduling in HPC: A Novel SLURM Plugin Approach,green
energy efficiency,scheduling,A review of energy-efficient scheduling in intelligent production systems,green
,,Let’s Wait Awhile: How Temporal Workload Shifting Can Reduce Carbon Emissions in the Cloud.,green
carbon impact,datacenter,Zero-carbon Compute Project,orange
carbon impact,datacenter,Carbon Emissions and Large Neural Network Training,orange
energy consumption,slurm,HDEEM: High Definition Energy Efficiency Monitoring,orange
carbon impact,scheduling,Chasing Carbon: The Elusive Environmental Footprint of Computing,orange
energy consumption,slurm,Energy Accounting and Control with SLURM Resource and Job Management System,orange
hotcarbon,2023,When Does Saving Power Save the Planet?,orange
carbon impact,cloud,A systematic review on effective energy utilization management strategies in cloud data centers,orange
carbon impact,cloud,Measuring the Carbon Intensity of AI in Cloud Instances,orange
energy consumption,hpc,Modeling CPU Energy Consumption of HPC Applications on the IBM POWER7,orange
carbon impact,load balancing,"Improving Carbon, Cost, and Energy Efficiency of Large Scale Systems via Workload Analysis",orange
,,Ecovisor: A Virtual Energy System for Carbon-Efficient Applications,orange
energy consumption,job management,Adaptive Resource and Job Management for Limited Power Consumption,orange
,,Introduction to energy-efficient resource management with SLURM and plugin development,orange
carbon impact,hpc,On the environmental impact of High Performance Computing,orange
,,FedZero: Leveraging Renewable Excess Energy in Federated Learning,orange
energy consumption,load balancing,Cloud Load Balancing Techniques : A Step Towards Green Computing,orange
,,A Testbed for Carbon-Aware Applications and Systems,orange
,,Not All Doom and Gloom: How Energy-Intensive and Temporally Flexible Data Center Applications May Actually Promote Renewable Energy Sources,orange
,,Renewable energy certificates threaten the integrity of corporate science-based targets,orange
