1715595858.189844 start program
1715595873.255679 load data
1715595873.352767 finish loading data
1715595873.743485 save model
1715595873.812778 done save model
1715595873.812881 start epoch 0
1715595873.812941 start phase train
1715595909.953879 start phase val
1715595912.110327 start epoch 1
1715595912.110491 start phase train
1715595947.980030 start phase val
1715595950.103627 start epoch 2
1715595950.103769 start phase train
1715595985.827189 start phase val
1715595987.953769 end
1715599336.100225 start program
1715599354.486964 load data
1715599354.582979 finish loading data
1715599354.981597 save model
1715599355.048900 done save model
1715599355.049009 start epoch 0
1715599355.049067 start phase train
1715599390.381943 start phase val
1715599392.371686 start epoch 1
1715599392.371827 start phase train
1715599427.483072 start phase val
1715599429.532208 start epoch 2
1715599429.532487 start phase train
1715599464.857674 start phase val
1715599466.706139 end
1715599469.716105 start program
1715599484.717834 load data
1715599484.815361 finish loading data
1715599485.219427 save model
1715599485.284339 done save model
1715599485.284445 start epoch 0
1715599485.284507 start phase train
1715599520.457432 start phase val
1715599522.502118 start epoch 1
1715599522.502286 start phase train
1715599557.684925 start phase val
1715599559.838977 start epoch 2
1715599559.839132 start phase train
1715599594.746725 start phase val
1715599596.843420 end
1715599599.881110 start program
1715599616.358359 load data
1715599616.457073 finish loading data
1715599616.868080 save model
1715599616.933887 done save model
1715599616.933993 start epoch 0
1715599616.934051 start phase train
1715599652.107264 start phase val
1715599654.170368 start epoch 1
1715599654.170526 start phase train
1715599688.907729 start phase val
1715599690.976795 start epoch 2
1715599690.976955 start phase train
1715599726.104642 start phase val
1715599728.120482 end
1715599731.152335 start program
1715599749.574173 load data
1715599749.669439 finish loading data
1715599750.067730 save model
1715599750.134120 done save model
1715599750.134232 start epoch 0
1715599750.134305 start phase train
1715599785.487304 start phase val
1715599787.535285 start epoch 1
1715599787.535433 start phase train
1715599822.647232 start phase val
1715599824.621479 start epoch 2
1715599824.621682 start phase train
1715599859.543364 start phase val
1715599861.515498 end
1715599864.535743 start program
1715599882.086708 load data
1715599882.183470 finish loading data
1715599882.578466 save model
1715599882.643130 done save model
1715599882.643234 start epoch 0
1715599882.643308 start phase train
1715599918.001952 start phase val
1715599920.049416 start epoch 1
1715599920.049568 start phase train
1715599955.128080 start phase val
1715599957.122668 start epoch 2
1715599957.122813 start phase train
1715599991.884344 start phase val
1715599993.880533 end
1715599996.908805 start program
1715600013.669101 load data
1715600013.765866 finish loading data
1715600014.178988 save model
1715600014.245694 done save model
1715600014.245802 start epoch 0
1715600014.245867 start phase train
1715600049.450253 start phase val
1715600051.502546 start epoch 1
1715600051.502695 start phase train
1715600086.518806 start phase val
1715600088.549860 start epoch 2
1715600088.550071 start phase train
1715600123.669327 start phase val
1715600125.529976 end
1715600128.551447 start program
1715600147.190748 load data
1715600147.288711 finish loading data
1715600147.691189 save model
1715600147.756137 done save model
1715600147.756245 start epoch 0
1715600147.756317 start phase train
1715600183.248058 start phase val
1715600185.298534 start epoch 1
1715600185.298683 start phase train
1715600220.981499 start phase val
1715600222.980304 start epoch 2
1715600222.980525 start phase train
1715600258.256793 start phase val
1715600260.430925 end
1715600263.543825 start program
1715600282.986752 load data
1715600283.087720 finish loading data
1715600283.523155 save model
1715600283.588817 done save model
1715600283.588927 start epoch 0
1715600283.588994 start phase train
1715600318.661145 start phase val
1715600320.657444 start epoch 1
1715600320.657660 start phase train
1715600355.669396 start phase val
1715600357.742102 start epoch 2
1715600357.742338 start phase train
1715600392.496756 start phase val
1715600394.354535 end
1715600397.391524 start program
1715600414.862891 load data
1715600414.964844 finish loading data
1715600415.364533 save model
1715600415.430496 done save model
1715600415.430605 start epoch 0
1715600415.430665 start phase train
1715600450.728579 start phase val
1715600452.832483 start epoch 1
1715600452.832644 start phase train
1715600487.404904 start phase val
1715600489.485802 start epoch 2
1715600489.486023 start phase train
1715600524.555521 start phase val
1715600526.419240 end
1715600529.533943 start program
1715600545.640635 load data
1715600545.742829 finish loading data
1715600546.153181 save model
1715600546.219344 done save model
1715600546.219448 start epoch 0
1715600546.219507 start phase train
1715600581.169447 start phase val
1715600583.119455 start epoch 1
1715600583.119609 start phase train
1715600617.842279 start phase val
1715600619.910548 start epoch 2
1715600619.910763 start phase train
1715600654.693809 start phase val
1715600656.702393 end
1715600659.719394 start program
1715600679.459533 load data
1715600679.560423 finish loading data
1715600679.966130 save model
1715600680.033463 done save model
1715600680.033580 start epoch 0
1715600680.033647 start phase train
1715600715.330964 start phase val
1715600717.346370 start epoch 1
1715600717.346521 start phase train
1715600752.066140 start phase val
1715600754.151359 start epoch 2
1715600754.151583 start phase train
1715600788.904784 start phase val
1715600790.921413 end
1715604478.406114 start program
1715604498.776448 load data
1715604498.862712 finish loading data
1715604499.258764 save model
1715604499.328238 done save model
1715604499.328347 start epoch 0
